ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9767441860465116,0.9942129629629629,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9502314814814815
kNN,0.9534883720930233,0.9898726851851851,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9004629629629629
Naive Bayes,0.9418604651162791,0.9866898148148148,0.9622641509433962,0.9444444444444444,0.9532710280373832,0.8766337629453995
Random Forest,0.9418604651162791,0.9924768518518519,0.9622641509433962,0.9444444444444444,0.9532710280373832,0.8766337629453995
Decision Tree,0.9302325581395349,0.90625,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.8536027857089435
